Year,NOC,Medals
2000,KGZ,1
2000,KSA,2
2000,KUW,1
2000,VIE,1
2004,UAE,1
2008,AFG,1
2008,KGZ,2
2008,MRI,1
2008,SRB,15
2008,SUD,1
2008,TJK,2
2008,TOG,1
2008,VIE,1
2012,AFG,1
2012,BOT,1
2012,BRN,1
2012,CYP,1
2012,GAB,1
2012,GRN,1
2012,GUA,1
2012,KSA,4
2012,KUW,1
2012,MNE,14
2012,SRB,16
2012,TJK,1
2016,BRN,2
2016,FIJ,13
2016,GRN,1
2016,JOR,1
2016,KOS,1
2016,SRB,54
2016,TJK,1
2016,UAE,1
2016,VIE,2
