Scenario,RUS_medals,BLR_medals,Note,Combined_medals
Full participation,94.7,18.4,Both compete under flag — unlikely given IOC direction,113.1
Neutral AIN entry,56.82,9.2,Reduced squad; individual neutrals only (~Paris 2024 model),66.0
Full exclusion,0.0,0.0,Complete ban; medals redistributed to other nations,0.0
