NOC,Medals_2016,Pred_2028_Ensemble,Pred_2028_Low,Pred_2028_High,Is_Host,Rank_2028,Delta_vs_2016
NEP,0,0.1,0.0,3.6,0,120,0.1
COK,0,0.1,0.0,3.6,0,121,0.1
ROT,0,0.1,0.0,3.6,0,122,0.1
BIH,0,0.1,0.0,3.6,0,123,0.1
CGO,0,0.1,0.0,3.6,0,124,0.1
RWA,0,0.1,0.0,3.6,0,125,0.1
SAM,0,0.1,0.0,3.6,0,126,0.1
TGA,0,0.1,0.0,3.6,0,127,0.1
SEY,0,0.1,0.0,3.6,0,128,0.1
CAM,0,0.1,0.0,3.6,0,129,0.1
TAN,0,0.1,0.0,3.6,0,130,0.1
SYR,0,0.1,0.0,3.6,0,131,0.1
CAF,0,0.1,0.0,3.6,0,132,0.1
SUR,0,0.1,0.0,3.6,0,133,0.1
SRI,0,0.1,0.0,3.6,0,134,0.1
ESA,0,0.1,0.0,3.6,0,135,0.1
NCA,0,0.1,0.0,3.6,0,136,0.1
BER,0,0.1,0.0,3.6,0,137,0.1
BAN,0,0.1,0.0,3.6,0,138,0.1
ISV,0,0.1,0.0,3.6,0,139,0.1
ZAM,0,0.1,0.0,3.6,0,140,0.1
HAI,0,0.1,0.0,3.6,0,141,0.1
YEM,0,0.1,0.0,3.6,0,142,0.1
ALB,0,0.1,0.0,3.6,0,143,0.1
LAO,0,0.1,0.0,3.6,0,144,0.1
AND,0,0.1,0.0,3.6,0,145,0.1
LBA,0,0.1,0.0,3.6,0,146,0.1
VAN,0,0.1,0.0,3.6,0,147,0.1
LES,0,0.1,0.0,3.6,0,148,0.1
LIB,0,0.1,0.0,3.6,0,149,0.1
ARU,0,0.1,0.0,3.6,0,150,0.1
SUD,0,0.1,0.0,3.6,0,151,0.1
MAD,0,0.1,0.0,3.6,0,152,0.1
LUX,0,0.1,0.0,3.7,0,153,0.1
BAR,0,0.1,0.0,3.6,0,154,0.1
GAB,0,0.1,0.0,3.6,0,155,0.1
NAM,0,0.1,0.0,3.6,0,156,0.1
MYA,0,0.1,0.0,3.6,0,157,0.1
BEN,0,0.1,0.0,3.6,0,158,0.1
MRI,0,0.1,0.0,3.7,0,159,0.1
MOZ,0,0.1,0.0,3.6,0,160,0.1
MON,0,0.1,0.0,3.6,0,161,0.1
MLT,0,0.1,0.0,3.6,0,162,0.1
MLI,0,0.1,0.0,3.6,0,163,0.1
MKD,0,0.1,0.0,3.6,0,164,0.1
BDI,1,0.1,0.0,3.6,0,165,-0.9
ANT,0,0.0,0.0,3.6,0,166,0.0
TUV,0,0.0,0.0,3.6,0,167,0.0
BIZ,0,0.0,0.0,3.6,0,168,0.0
TLS,0,0.0,0.0,3.6,0,169,0.0
VIN,0,0.0,0.0,3.6,0,170,0.0
SWZ,0,0.0,0.0,3.6,0,171,0.0
BHU,0,0.0,0.0,3.6,0,172,0.0
ASA,0,0.0,0.0,3.6,0,173,0.0
BRU,0,0.0,0.0,3.6,0,174,0.0
IVB,0,0.0,0.0,3.6,0,175,0.0
STP,0,0.0,0.0,3.6,0,176,0.0
SSD,0,0.0,0.0,3.6,0,177,0.0
ISL,0,0.0,0.0,3.6,0,178,0.0
KIR,0,0.0,0.0,3.6,0,179,0.0
GUY,0,0.0,0.0,3.6,0,180,0.0
GUM,0,0.0,0.0,3.6,0,181,0.0
LBR,0,0.0,0.0,3.6,0,182,0.0
LCA,0,0.0,0.0,3.6,0,183,0.0
LIE,0,0.0,0.0,3.6,0,184,0.0
GUI,0,0.0,0.0,3.6,0,185,0.0
MAW,0,0.0,0.0,3.6,0,186,0.0
GEQ,0,0.0,0.0,3.6,0,187,0.0
MDV,0,0.0,0.0,3.6,0,188,0.0
GBS,0,0.0,0.0,3.6,0,189,0.0
GAM,0,0.0,0.0,3.6,0,190,0.0
MHL,0,0.0,0.0,3.6,0,191,0.0
MTN,0,0.0,0.0,3.6,0,192,0.0
FSM,0,0.0,0.0,3.6,0,193,0.0
NRU,0,0.0,0.0,3.6,0,194,0.0
DMA,0,0.0,0.0,3.6,0,195,0.0
OMA,0,0.0,0.0,3.6,0,196,0.0
COM,0,0.0,0.0,3.6,0,197,0.0
COD,0,0.0,0.0,3.6,0,198,0.0
CHA,0,0.0,0.0,3.6,0,199,0.0
CAY,0,0.0,0.0,3.6,0,200,0.0
SKN,0,0.0,0.0,3.6,0,201,0.0
SLE,0,0.0,0.0,3.6,0,202,0.0
SMR,0,0.0,0.0,3.6,0,203,0.0
SOL,0,0.0,0.0,3.6,0,204,0.0
SOM,0,0.0,0.0,3.6,0,205,0.0
BUR,0,0.0,0.0,3.6,0,206,0.0
AFG,0,0.0,0.0,3.4,0,207,0.0
