Feature,RF_Importance,GB_Importance,Avg_Importance
is_host,0.0005923510430635915,0.0013439741145246072,0.0009681625787940993
sports,0.004178527013164934,0.010385000563132176,0.007281763788148555
medal_rate_3,0.006490650758597235,0.011206942716649883,0.008848796737623559
prev2_medals,0.014632244419182545,0.013670156479873559,0.014151200449528053
events,0.05260542283874352,0.07188382854742806,0.06224462569308579
avg_medals_3,0.2149942559196225,0.18852631787951366,0.2017602868995681
prev_medals,0.36970219964659756,0.30964141542043855,0.33967180753351806
athletes,0.3368043483610282,0.3933423642784396,0.3650733563197339
